4/4,at Angels,W 9-0,1-0,Arrieta(1-0),Richards(0-1)
4/5,at Angels,W 6-1,2-0,Lester(1-0),Heaney(0-1)
4/7,at D-backs,W 14-6,3-0,Lackey(1-0),De La Rosa(0-1)
4/8,at D-backs,L 2-3,3-1,Ziegler(1-0),Cahill(0-1)
4/9,at D-backs,W 4-2,4-1,Hendricks(1-0),Greinke(0-2)
4/10,at D-backs,W 7-3,5-1,Arrieta(2-0),Miller(0-1)
4/11,Reds,W 5-3,6-1,Warren(1-0),Cingrani(0-1)
4/13,Reds,W 9-2,7-1,Lackey(2-0),Simon(0-1)
4/14,Reds,W 8-1,8-1,Hammel(1-0),Iglesias(1-1)
4/15,Rockies,L 1-6,8-2,Bettis(2-0),Hendricks(1-1)
4/16,Rockies,W 6-2,9-2,Arrieta(3-0),Bergman(0-2)
4/17,Rockies,L 0-2,9-3,Chatwood(2-1),Lester(1-1)
4/18,at Cardinals,W 5-0,10-3,Lackey(3-0),Leake(0-2)
4/19,at Cardinals,W 2-1,11-3,Hammel(2-0),Garcia(1-1)
4/20,at Cardinals,L 3-5,11-4,Martinez(3-0),Hendricks(1-2)
4/21,at Reds,W 16-0,12-4,Arrieta(4-0),Finnegan(1-1)
4/22,at Reds,W 8-1,13-4,Lester(2-1),Moscot(0-1)
4/23,at Reds,L 5-13,13-5,Wood(2-0),Lackey(3-1)
4/24,at Reds,W 9-0,14-5,Hammel(3-0),Simon(0-2)
4/26,Brewers,W 4-3,15-5,Warren(2-0),Nelson(3-2)
4/27,Brewers,Postponed,15-5,Cahill(0-1),Garza(0-0)
4/28,Brewers,W 7-2,16-5,Arrieta(5-0),Jungmann(0-4)
4/29,Braves,W 6-1,17-5,Strop(1-0),Johnson(0-3)
4/30,Braves,Postponed,17-5,Alvarez(0-0),Patton(0-0)
5/1,Braves,L 3-4,17-6,Vizcaino(1-0),Rondon(0-1)
5/2,at Pirates,W 7-2,18-6,Hammel(4-0),Cole(2-3)
5/3,at Pirates,W 7-1,19-6,Arrieta(6-0),Niese(3-1)
5/4,at Pirates,W 6-2,20-6,Lester(3-1),Nicasio(3-3)
5/5,Nationals,W 5-2,21-6,Hendricks(2-2),Ross(3-1)
5/6,Nationals,W 8-6,22-6,Lackey(4-1),Scherzer(3-2)
5/7,Nationals,W 8-5,23-6,Warren(3-0),Solis(0-1)
5/8,Nationals,W 4-3,24-6,Wood(1-0),Treinen(2-1)
5/9,Padres,Postponed,24-6,Villanueva(0-0),Strop(1-0)
5/10,Padres,W 8-7,25-6,Lester(4-1),Vargas(0-2)
5/11,Padres,L 4-7,25-7,Villanueva(1-0),Strop(1-1)
5/11,Padres,L 0-1,25-8,Pomeranz(4-3),Lackey(4-2)
5/13,Pirates,W 9-4,26-8,Hammel(5-0),Liriano(3-2)
5/14,Pirates,W 8-2,27-8,Arrieta(7-0),Locke(1-3)
5/15,Pirates,L 1-2,27-9,Cole(4-3),Lester(4-2)
5/17,at Brewers,L 2-4,27-10,Anderson(2-5),Hendricks(2-3)
5/18,at Brewers,W 2-1,28-10,Wood(2-0),Torres(0-1)
5/19,at Brewers,L 3-5,28-11,Guerra(3-0),Hammel(5-1)
5/20,at Giants,W 8-1,29-11,Arrieta(8-0),Peavy(1-5)
5/21,at Giants,L 3-5,29-12,Cain(1-5),Lester(4-3)
5/22,at Giants,L 0-1,29-13,Bumgarner(6-2),Hendricks(2-4)
5/23,at Cardinals,L 3-4,29-14,Rosenthal(2-1),Warren(3-1)
5/24,at Cardinals,W 12-3,30-14,Hammel(6-1),Wacha(2-5)
5/25,at Cardinals,W 9-8,31-14,Arrieta(9-0),Martinez(4-5)
5/27,Phillies,W 6-2,32-14,Lester(5-3),Morgan(1-3)
5/28,Phillies,W 4-1,33-14,Hendricks(3-4),Eickhoff(2-7)
5/29,Phillies,W 7-2,34-14,Lackey(5-2),Velasquez(5-2)
5/30,Dodgers,W 2-0,35-14,Wood(3-0),Wood(1-4)
5/31,Dodgers,L 0-5,35-15,Blanton(3-2),Richard(0-1)
6/1,Dodgers,W 2-1,36-15,Lester(6-3),Bolsinger(1-2)
6/2,Dodgers,W 7-2,37-15,Hendricks(4-4),Urias(0-1)
6/3,D-backs,W 6-0,38-15,Lackey(6-2),Bradley(2-1)
6/4,D-backs,W 5-3,39-15,Hammel(7-1),Escobar(0-2)
6/5,D-backs,L 2-3,39-16,Corbin(3-5),Arrieta(9-1)
6/6,at Phillies,W 6-4,40-16,Lester(7-3),Morgan(1-5)
6/7,at Phillies,L 2-3,40-17,Eickhoff(3-8),Hendricks(4-5)
6/8,at Phillies,W 8-1,41-17,Lackey(7-2),Oberholtzer(2-1)
6/10,at Braves,L 1-5,41-18,Norris(2-7),Hammel(7-2)
6/11,at Braves,W 8-2,42-18,Arrieta(10-1),Wisler(2-7)
6/12,at Braves,W 13-2,43-18,Lester(8-3),Gant(0-1)
6/13,at Nationals,L 1-4,43-19,Scherzer(8-4),Hendricks(4-6)
6/14,at Nationals,W 4-3,44-19,Rondon(1-1),Solis(1-2)
6/15,at Nationals,L 4-5,44-20,Petit(2-0),Cahill(0-2)
6/17,Pirates,W 6-0,45-20,Arrieta(11-1),Liriano(4-7)
6/18,Pirates,W 4-3,46-20,Lester(9-3),Niese(6-4)
6/19,Pirates,W 10-5,47-20,Hendricks(5-6),Taillon(1-1)
6/20,Cardinals,L 2-3,47-21,Garcia(5-6),Lackey(7-3)
6/21,Cardinals,L 3-4,47-22,Wainwright(6-4),Hammel(7-3)
6/22,Cardinals,L 2-7,47-23,Wacha(3-7),Arrieta(11-2)
6/23,at Marlins,L 2-4,47-24,Barraclough(4-2),Strop(1-2)
