4/5,Cardinals,L 0-3,0-1,Wainwright(1-0),Lester(0-1)
4/7,Cardinals,Postponed,0-1,Arrieta(0-0),Lyons(0-0)
4/8,Cardinals,W 2-0,1-1,Arrieta(1-0),Lynn(0-1)
4/10,at Rockies,L 1-5,1-2,Bergman(1-0),Wood(0-1)
4/11,at Rockies,W 9-5,2-2,Hammel(1-0),Kendrick(1-1)
4/12,at Rockies,W 6-5,3-2,Ramirez(1-0),Hawkins(1-1)
4/13,Reds,W 7-6,4-2,Rondon(1-0),Parra(0-1)
4/14,Reds,L 2-3,4-3,DeSclafani(1-0),Arrieta(1-1)
4/15,Reds,W 5-0,5-3,Wood(1-1),Marquis(0-1)
4/17,Padres,L 4-5,5-4,Shields(2-0),Schlitter(0-1)
4/18,Padres,W 7-6,6-4,Rosscup(1-0),Kimbrel(0-1)
4/19,Padres,L 2-5,6-5,Cashner(1-2),Lester(0-2)
4/20,at Pirates,W 5-2,7-5,Arrieta(2-1),Caminero(0-1)
4/21,at Pirates,W 9-8,8-5,Jackson(1-0),Melancon(0-1)
4/22,at Pirates,L 3-4,8-6,Worley(2-1),Hammel(1-1)
4/23,at Pirates,L 4-5,8-7,Liz(1-1),Schlitter(0-2)
4/24,at Reds,W 7-3,9-7,Motte(1-0),Badenhop(0-1)
4/25,at Reds,Postponed,9-7,Rondon(1-0),Chapman(1-0)
4/26,at Reds,W 5-2,10-7,Arrieta(3-1),DeSclafani(2-1)
4/27,Pirates,W 4-0,11-7,Hammel(2-1),Worley(2-2)
4/28,Pirates,W 6-2,12-7,Wood(2-1),Locke(2-1)
4/29,Pirates,L 1-8,12-8,Cole(4-0),Hendricks(0-1)
5/1,Brewers,W 1-0,13-8,Lester(1-2),Peralta(0-4)
5/2,Brewers,L 1-6,13-9,Fiers(1-3),Arrieta(3-2)
5/3,Brewers,L 3-5,13-10,Smith(1-0),Strop(0-1)
5/4,at Cardinals,L 9-10,13-11,Socolovich(2-0),Strop(0-2)
5/5,at Cardinals,L 4-7,13-12,Harris(1-0),Jackson(1-1)
5/6,at Cardinals,W 6-5,14-12,Lester(2-2),Lynn(1-3)
5/7,at Cardinals,L 1-5,14-13,Lackey(2-1),Arrieta(3-3)
5/8,at Brewers,W 7-6,15-13,Hammel(3-1),Nelson(1-3)
5/9,at Brewers,L 4-12,15-14,Lohse(2-4),Wood(2-2)
5/10,at Brewers,L 2-3,15-15,Blazek(3-0),Motte(1-1)
5/11,Mets,W 4-3,16-15,Lester(3-2),deGrom(3-4)
5/12,Mets,W 6-1,17-15,Arrieta(4-3),Syndergaard(0-1)
5/13,Mets,W 2-1,18-15,Rondon(2-0),Torres(1-2)
5/14,Mets,W 6-5,19-15,Strop(1-2),Niese(3-3)
5/15,Pirates,W 11-10,20-15,Jackson(2-1),Liz(1-3)
5/16,Pirates,W 4-1,21-15,Lester(4-2),Cole(5-2)
5/17,Pirates,L 0-3,21-16,Burnett(3-1),Arrieta(4-4)
5/19,at Padres,L 3-4,21-17,Benoit(4-1),Russell(0-1)
